Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.51     16.24    16.24 111661494     0.00     0.00  debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&)
[216]    0.0    0.01    0.00       4         cs251::dominos_t::dominos_t() [216]
                0.00    0.00       8/8           cs251::spiral_create(b2Vec2, float, float, float, bool, float, float, bool, int, int, b2World*) [clone .constprop.11] [241]
                0.00    0.00       4/4           cs251::base_sim_t::base_sim_t() [244]
-----------------------------------------------
                0.00    0.01       3/3           cs251::callbacks_t::restart_cb(int) [220]
[217]    0.0    0.00    0.01       3         cs251::dominos_t::create() [217]
                0.01    0.00       4/4           cs251::dominos_t::dominos_t() [216]
-----------------------------------------------
                                                 <spontaneous>
[218]    0.0    0.01    0.00                 b2IsValid(float) [218]
-----------------------------------------------
                                                 <spontaneous>
[219]    0.0    0.01    0.00                 debug_draw_t::DrawTransform(b2Transform const&) [219]
-----------------------------------------------
                                                 <spontaneous>
[220]    0.0    0.00    0.01                 cs251::callbacks_t::restart_cb(int) [220]
                0.00    0.01       3/3           cs251::dominos_t::create() [217]
                0.00    0.00       3/3           cs251::dominos_t::~dominos_t() [246]
-----------------------------------------------
                                                 <spontaneous>
[221]    0.0    0.01    0.00                 operator delete(void*, void*) [221]
-----------------------------------------------
                                                 <spontaneous>
[222]    0.0    0.01    0.00                 operator-(b2Vec3 const&, b2Vec3 const&) [222]
-----------------------------------------------
                                                 <spontaneous>
[223]    0.0    0.00    0.00                 b2PolygonShape::~b2PolygonShape() [223]
                0.00    0.00     298/1707809     b2Shape::~b2Shape() [174]
-----------------------------------------------
                                                 <spontaneous>
[224]    0.0    0.00    0.00                 b2ChainShape::~b2ChainShape() [224]
                0.00    0.00     294/1707809     b2Shape::~b2Shape() [174]
-----------------------------------------------
                                                 <spontaneous>
[225]    0.0    0.00    0.00                 b2CircleShape::~b2CircleShape() [225]
                0.00    0.00     146/1707809     b2Shape::~b2Shape() [174]
-----------------------------------------------
                0.00    0.00 1628017/1628017     b2Island::Report(b2ContactVelocityConstraint const*) [195]
[233]    0.0    0.00    0.00 1628017         b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [233]
-----------------------------------------------
                0.00    0.00 1627231/1627231     b2Contact::Update(b2ContactListener*) [41]
[234]    0.0    0.00    0.00 1627231         b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [234]
-----------------------------------------------
                0.00    0.00   20769/20769       b2Contact::Update(b2ContactListener*) [41]
[235]    0.0    0.00    0.00   20769         cs251::base_sim_t::BeginContact(b2Contact*) [235]
-----------------------------------------------
                0.00    0.00      16/19928       b2ContactManager::Destroy(b2Contact*) [420]
                0.00    0.00   19912/19928       b2Contact::Update(b2ContactListener*) [41]
[236]    0.0    0.00    0.00   19928         b2ContactListener::EndContact(b2Contact*) [236]
-----------------------------------------------
                0.00    0.00   17843/17843       cs251::callbacks_t::display_cb() [95]
[237]    0.0    0.00    0.00   17843         debug_draw_t::DrawString(int, int, char const*, ...) [237]
-----------------------------------------------
                0.00    0.00   17843/17843       cs251::callbacks_t::display_cb() [95]
[238]    0.0    0.00    0.00   17843         cs251::base_sim_t::draw_title(int, int, char const*) [238]
-----------------------------------------------
                0.00    0.00     201/201         cs251::callbacks_t::mouse_motion_cb(int, int) [494]
[239]    0.0    0.00    0.00     201         cs251::dominos_t::mouse_move(b2Vec2 const&) [239]
-----------------------------------------------
                0.00    0.00      24/24          cs251::spiral_create(b2Vec2, float, float, float, bool, float, float, bool, int, int, b2World*) [clone .constprop.11] [241]
[240]    0.0    0.00    0.00      24         cs251::arc_create(b2Vec2, float, float, float, bool, int, b2World*) [clone .constprop.15] [240]
-----------------------------------------------
                0.00    0.00       8/8           cs251::dominos_t::dominos_t() [216]
[241]    0.0    0.00    0.00       8         cs251::spiral_create(b2Vec2, float, float, float, bool, float, float, bool, int, int, b2World*) [clone .constprop.11] [241]
                0.00    0.00      24/24          cs251::arc_create(b2Vec2, float, float, float, bool, int, b2World*) [clone .constprop.15] [240]
-----------------------------------------------
                0.00    0.00       5/5           cs251::callbacks_t::mouse_cb(int, int, int, int) [498]
[242]    0.0    0.00    0.00       5         cs251::dominos_t::mouse_down(b2Vec2 const&) [242]
-----------------------------------------------
                0.00    0.00       5/5           cs251::callbacks_t::mouse_cb(int, int, int, int) [498]
[243]    0.0    0.00    0.00       5         cs251::dominos_t::mouse_up(b2Vec2 const&) [243]
-----------------------------------------------
                0.00    0.00       4/4           cs251::dominos_t::dominos_t() [216]
[244]    0.0    0.00    0.00       4         cs251::base_sim_t::base_sim_t() [244]
-----------------------------------------------
                0.00    0.00       3/3           cs251::dominos_t::~dominos_t() [246]
[245]    0.0    0.00    0.00       3         cs251::base_sim_t::~base_sim_t() [245]
-----------------------------------------------
                0.00    0.00       3/3           cs251::callbacks_t::restart_cb(int) [220]
[246]    0.0    0.00    0.00       3         cs251::dominos_t::~dominos_t() [246]
                0.00    0.00       3/3           cs251::base_sim_t::~base_sim_t() [245]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [769]
[247]    0.0    0.00    0.00       1         _GLOBAL__sub_I__ZN5cs25110test_indexE [247]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [769]
[248]    0.0    0.00    0.00       1         _GLOBAL__sub_I__ZN5cs25114collision_flagE [248]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [769]
[249]    0.0    0.00    0.00       1         _GLOBAL__sub_I__ZN5cs2513dj1E [249]
-----------------------------------------------
                0.00    0.00       1/1           __libc_csu_init [769]
[250]    0.0    0.00    0.00       1         _GLOBAL__sub_I_flag [250]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

 [247] _GLOBAL__sub_I__ZN5cs25110test_indexE (callbacks.cpp) [181] b2GrowableStack<int, 256>::~b2GrowableStack() [197] __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [248] _GLOBAL__sub_I__ZN5cs25114collision_flagE (main.cpp) [106] b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [12] b2Contact::GetFixtureA()
 [249] _GLOBAL__sub_I__ZN5cs2513dj1E (dominos.cpp) [120] b2RevoluteJoint::Dump() [98] b2Contact::GetFixtureB()
 [170] _GLOBAL__sub_I_b2_defaultFilter [107] b2SimplexVertex::b2SimplexVertex() [167] b2Contact::FlagForFiltering()
 [250] _GLOBAL__sub_I_flag (cs251_base.cpp) [78] b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [41] b2Contact::Update(b2ContactListener*)
  [29] b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [158] b2WorldManifold::b2WorldManifold() [56] b2Contact::GetNext()
  [81] b2Distance(b2Vec2 const&, b2Vec2 const&) [159] b2BlockAllocator::Allocate(int) [198] b2Contact::b2Contact(b2Fixture*, int, b2Fixture*, int)
  [40] b2TestOverlap(b2AABB const&, b2AABB const&) [33] b2ContactManager::AddPair(void*, void*) [122] b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  [37] b2PairLessThan(b2Pair const&, b2Pair const&) [15] b2ContactManager::Collide() [31] b2Fixture::GetBody()
  [44] b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [182] b2ContactManager::~b2ContactManager() [83] b2Fixture::GetNext()
 [102] b2CollideCircles(b2Manifold*, b2CircleShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [183] b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [53] b2Fixture::GetShape()
 [115] b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [184] b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*) [141] b2Simplex::Solve2()
 [148] b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [185] b2PrismaticJoint::SolveVelocityConstraints(b2SolverData const&) [59] b2Simplex::Solve3()
 [149] b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [186] b2StackAllocator::Free(void*) [63] b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&)
 [150] b2CollideEdgeAndCircle(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [121] b2StackAllocator::Allocate(int) [123] b2Simplex::b2Simplex()
  [71] b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [236] b2ContactListener::EndContact(b2Contact*) [47] b2TreeNode::IsLeaf() const
 [151] float b2Abs<float>(float) [234] b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [142] b2BroadPhase::TestOverlap(int, int) const
  [14] b2Dot(b2Vec2 const&, b2Vec2 const&) [233] b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [143] b2ChainShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  [22] float b2Max<float>(float, float) [52] b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [64] b2ChainShape::GetChildEdge(b2EdgeShape*, int) const
 [131] int b2Max<int>(int, int) [187] b2SeparationFunction::b2SeparationFunction() [144] b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  [26] b2Max(b2Vec2 const&, b2Vec2 const&) [160] b2ChainAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [145] b2DynamicTree::GetFatAABB(int) const
  [18] float b2Min<float>(float, float) [73] b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [124] b2DynamicTree::GetUserData(int) const
 [132] int b2Min<int>(int, int) [161] b2PolygonAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [75] void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  [34] b2Min(b2Vec2 const&, b2Vec2 const&) [57] b2Rot::Set(float) [125] b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
   [3] b2Mul(b2Transform const&, b2Vec2 const&) [94] b2Rot::b2Rot(float) [199] b2PolygonShape::RayCast(b2RayCastOutput*, b2RayCastInput const&, b2Transform const&, int) const
  [13] b2Mul(b2Rot const&, b2Vec2 const&) [138] b2Rot::b2Rot() [172] b2PolygonShape::Validate() const
 [103] b2MulT(b2Transform const&, b2Vec2 const&) [240] cs251::arc_create(b2Vec2, float, float, float, bool, int, b2World*) [clone .constprop.15] (dominos.cpp) [30] b2DistanceProxy::GetSupport(b2Vec2 const&) const
 [104] b2MulT(b2Transform const&, b2Transform const&) [238] cs251::base_sim_t::draw_title(int, int, char const*) [60] b2DistanceProxy::GetVertex(int) const
  [19] b2MulT(b2Rot const&, b2Vec2 const&) [235] cs251::base_sim_t::BeginContact(b2Contact*) [200] b2StackAllocator::GetMaxAllocation() const
  [77] b2MulT(b2Rot const&, b2Rot const&) [147] cs251::base_sim_t::step(cs251::settings_t*) [70] b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  [49] float b2Clamp<float>(float, float, float) [244] cs251::base_sim_t::base_sim_t() [201] b2SeparationFunction::Evaluate(int, int, float) const
  [21] b2Cross(b2Vec2 const&, b2Vec2 const&) [245] cs251::base_sim_t::~base_sim_t() [110] b2AABB::GetPerimeter() const
  [20] b2Cross(b2Vec2 const&, float) [95] cs251::callbacks_t::display_cb() [202] b2AABB::Contains(b2AABB const&) const
 [176] b2Cross(b2Vec3 const&, b2Vec3 const&) [241] cs251::spiral_create(b2Vec2, float, float, float, bool, float, float, bool, int, int, b2World*) [clone .constprop.11] (dominos.cpp) [203] b2Body::GetWorldCenter() const
  [11] b2Cross(float, b2Vec2 const&) [242] cs251::dominos_t::mouse_down(b2Vec2 const&) [113] b2Body::GetMass() const
 [218] b2IsValid(float)      [239] cs251::dominos_t::mouse_move(b2Vec2 const&) [204] b2Body::GetType() const
 [105] b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [217] cs251::dominos_t::create() [28] b2Body::IsAwake() const
  [58] b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [243] cs251::dominos_t::mouse_up(b2Vec2 const&) [130] b2Body::IsActive() const
 [116] b2EdgeShape::b2EdgeShape() [216] cs251::dominos_t::dominos_t() [205] b2Body::IsBullet() const
  [72] b2Transform::b2Transform() [246] cs251::dominos_t::~dominos_t() [62] b2Vec2::LengthSquared() const
 [117] void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [68] b2AABB::Combine(b2AABB const&, b2AABB const&) [61] b2Vec2::Length() const
 [177] b2BroadPhase::QueryCallback(int) [162] b2AABB::b2AABB() [27] b2Vec2::operator-() const
 [178] b2BroadPhase::MoveProxy(int, b2AABB const&, b2Vec2 const&) [96] b2Body::GetContactList() [111] b2Mat33::Solve22(b2Vec2 const&) const
  [91] b2EPCollider::ComputeEdgeSeparation() [65] b2Body::GetFixtureList() [206] b2Mat33::Solve33(b2Vec3 const&) const
  [43] b2EPCollider::ComputePolygonSeparation() [108] b2Body::SynchronizeFixtures() [50] b2Shape::GetType() const
  [38] b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [163] b2Body::SynchronizeTransform() [45] b2Sweep::GetTransform(b2Transform*, float) const
  [82] b2EPCollider::b2EPCollider() [164] b2Body::Dump()  [99] b2Timer::GetMilliseconds() const
   [2] debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&) [80] b2Body::GetNext() [173] b2World::IsLocked() const
 [237] debug_draw_t::DrawString(int, int, char const*, ...) [188] b2Body::SetType(b2BodyType) [84] b2Contact::IsTouching() const
 [118] debug_draw_t::DrawPolygon(b2Vec2 const*, int, b2Color const&) [69] b2Vec2::Set(float, float) [76] b2Contact::GetChildIndexA() const
  [17] debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [112] b2Vec2::SetZero() [85] b2Contact::GetChildIndexB() const
 [219] debug_draw_t::DrawTransform(b2Transform const&) [48] b2Vec2::Normalize() [25] b2Contact::IsEnabled() const
  [46] debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [6] b2Vec2::b2Vec2(float, float) [86] b2Fixture::GetType() const
  [89] debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [16] b2Vec2::b2Vec2() [54] b2Fixture::IsSensor() const
  [39] b2DynamicTree::InsertLeaf(int) [35] b2Vec2::operator-=(b2Vec2 const&) [126] b2Simplex::WriteCache(b2SimplexCache*) const
 [133] b2DynamicTree::RemoveLeaf(int) [189] b2Vec2::operator*=(float) [127] b2Simplex::GetClosestPoint() const
 [179] b2DynamicTree::DestroyProxy(int) [42] b2Vec2::operator+=(b2Vec2 const&) [146] b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
  [55] b2DynamicTree::Balance(int) [190] b2Joint::GetBodyA() [79] b2Simplex::GetSearchDirection() const
 [152] b2DynamicTree::MoveProxy(int, b2AABB const&, b2Vec2 const&) [90] b2Mat22::SetZero() [207] b2Simplex::GetMetric() const
 [134] b2PulleyJoint::InitVelocityConstraints(b2SolverData const&) [191] b2Mat22::b2Mat22() [168] void std::__iter_swap<true>::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
 [153] b2PulleyJoint::SolvePositionConstraints(b2SolverData const&) [174] b2Shape::~b2Shape() [208] b2Pair* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<b2Pair>(b2Pair const*, b2Pair const*, b2Pair*)
 [119] b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [192] b2Sweep::Advance(float) [209] void std::__pop_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [154] b2PulleyJoint::b2PulleyJoint(b2PulleyJointDef const*) [129] b2Sweep::Normalize() [210] void std::__push_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>)
 [135] b2TempPolygon::b2TempPolygon() [74] b2Sweep::b2Sweep() [211] void std::__sort_heap<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [180] b2CircleContact::Create(b2Fixture*, int, b2Fixture*, int, b2BlockAllocator*) [139] b2Timer::Reset() [87] void std::__adjust_heap<b2Pair*, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, long, long, b2Pair, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [155] b2CircleContact::b2CircleContact(b2Fixture*, b2Fixture*) [193] b2Timer::b2Timer() [66] b2Pair* std::__unguarded_partition<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [136] b2ContactSolver::StoreImpulses() [109] b2World::DrawDebugData() [212] b2Pair* std::__copy_move_backward_a<false, b2Pair*, b2Pair*>(b2Pair*, b2Pair*, b2Pair*)
  [36] b2ContactSolver::SolvePositionConstraints() [194] b2World::Step(float, int, int) [88] void std::__unguarded_linear_insert<b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
   [8] b2ContactSolver::SolveVelocityConstraints() [7] b2World::Solve(b2TimeStep const&) [169] void std::__unguarded_insertion_sort<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
 [171] b2ContactSolver::SolveTOIPositionConstraints(int, int) [9] b2World::SolveTOI(b2TimeStep const&) [213] b2Pair* std::__unguarded_partition_pivot<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  [32] b2ContactSolver::InitializeVelocityConstraints() [114] b2World::DrawJoint(b2Joint*) [214] std::__lg(long)
  [51] b2ContactSolver::WarmStart() [1] b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [128] void std::swap<b2Pair>(b2Pair&, b2Pair&)
  [23] b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [140] b2Island::Add(b2Body*) [221] operator delete(void*, void*)
 [156] b2DistanceInput::b2DistanceInput() [165] b2Island::Add(b2Joint*) [215] operator==(b2Vec2 const&, b2Vec2 const&)
 [100] b2DistanceJoint::Dump() [166] b2Island::Add(b2Contact*) [4] operator-(b2Vec2 const&, b2Vec2 const&)
  [92] b2DistanceProxy::Set(b2Shape const*, int) [24] b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [222] operator-(b2Vec3 const&, b2Vec3 const&)
 [157] b2DistanceProxy::b2DistanceProxy() [195] b2Island::Report(b2ContactVelocityConstraint const*) [5] operator*(float, b2Vec2 const&)
  [93] b2GrowableStack<int, 256>::Pop() [97] bool __gnu_cxx::__ops::_Val_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair, b2Pair*>(b2Pair&, b2Pair*) [10] operator+(b2Vec2 const&, b2Vec2 const&)
  [67] b2GrowableStack<int, 256>::Push(int const&) [101] bool __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>::operator()<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
 [137] b2GrowableStack<int, 256>::GetCount() [196] __gnu_cxx::__ops::_Iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)> __gnu_cxx::__ops::__iter_comp_val<bool (*)(b2Pair const&, b2Pair const&)>(__gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
